RPF_KO_Rep1_clpd_tr.fastq.gz
@HD	VN:1.0	SO:unsorted
@SQ	SN:NR_146119.1	LN:1869
@SQ	SN:NR_046235.3	LN:13357
@SQ	SN:NR_003287.4	LN:5070
@SQ	SN:NR_003286.4	LN:1869
@SQ	SN:XR_007090886.1	LN:151
@SQ	SN:XR_007090885.1	LN:153
@SQ	SN:XR_007090883.1	LN:153
@SQ	SN:XR_007090882.1	LN:153
@SQ	SN:XR_007090881.1	LN:153
@SQ	SN:XR_007090880.1	LN:153
@SQ	SN:XR_007090879.1	LN:153
@SQ	SN:XR_007090878.1	LN:153
@SQ	SN:XR_007090877.1	LN:153
@SQ	SN:XR_007090876.1	LN:153
@SQ	SN:XR_007090875.1	LN:153
@SQ	SN:XR_007090874.1	LN:153
@SQ	SN:XR_007090873.1	LN:153
@SQ	SN:XR_007090872.1	LN:153
@SQ	SN:XR_007090871.1	LN:153
@SQ	SN:XR_007090870.1	LN:153
@SQ	SN:XR_007090869.1	LN:5071
@SQ	SN:XR_007090868.1	LN:5071
@SQ	SN:XR_007090867.1	LN:5071
@SQ	SN:XR_007090866.1	LN:5071
@SQ	SN:XR_007090865.1	LN:5071
@SQ	SN:XR_007090864.1	LN:5071
@SQ	SN:XR_007090863.1	LN:5071
@SQ	SN:XR_007090862.1	LN:153
@SQ	SN:XR_007090861.1	LN:5071
@SQ	SN:XR_007090860.1	LN:5071
@SQ	SN:XR_007090859.1	LN:5071
@SQ	SN:XR_007090858.1	LN:5071
@SQ	SN:XR_007090857.1	LN:5071
@SQ	SN:XR_007090856.1	LN:5071
@SQ	SN:XR_007090855.1	LN:5071
@SQ	SN:XR_007090854.1	LN:5071
@SQ	SN:XR_007090853.1	LN:5071
@SQ	SN:XR_007090852.1	LN:153
@SQ	SN:XR_007090851.1	LN:5071
@SQ	SN:XR_007090850.1	LN:5062
@SQ	SN:XR_007090849.1	LN:5056
@SQ	SN:XR_007090848.1	LN:5036
@SQ	SN:XR_007090847.1	LN:1869
@SQ	SN:XR_007090846.1	LN:1869
@SQ	SN:XR_007090843.1	LN:1869
@SQ	SN:XR_007090842.1	LN:1869
@SQ	SN:XR_007090841.1	LN:1869
@SQ	SN:XR_007090840.1	LN:1869
@SQ	SN:XR_007090839.1	LN:1869
@SQ	SN:XR_007090838.1	LN:1869
@SQ	SN:XR_007090837.1	LN:1869
@SQ	SN:XR_007090836.1	LN:1869
@SQ	SN:XR_007090835.1	LN:1869
@SQ	SN:XR_007090834.1	LN:1869
@SQ	SN:XR_007090833.1	LN:1869
@SQ	SN:XR_007090832.1	LN:153
@SQ	SN:XR_007090831.1	LN:1869
@SQ	SN:XR_007090830.1	LN:1869
@SQ	SN:XR_007090829.1	LN:1869
@SQ	SN:XR_007090828.1	LN:1869
@SQ	SN:XR_007090827.1	LN:1869
@SQ	SN:XR_007090408.1	LN:153
@SQ	SN:XR_007090407.1	LN:153
@SQ	SN:XR_007090406.1	LN:153
@SQ	SN:XR_007090405.1	LN:153
@SQ	SN:XR_007090404.1	LN:153
@SQ	SN:XR_007090403.1	LN:153
@SQ	SN:XR_007090402.1	LN:153
@SQ	SN:XR_007090401.1	LN:153
@SQ	SN:XR_007090400.1	LN:153
@SQ	SN:XR_007090399.1	LN:153
@SQ	SN:XR_007090398.1	LN:153
@SQ	SN:XR_007090397.1	LN:153
@SQ	SN:XR_007090396.1	LN:153
@SQ	SN:XR_007090395.1	LN:153
@SQ	SN:XR_007090394.1	LN:153
@SQ	SN:XR_007090393.1	LN:153
@SQ	SN:XR_007090392.1	LN:153
@SQ	SN:XR_007090391.1	LN:153
@SQ	SN:XR_007090390.1	LN:153
@SQ	SN:XR_007090389.1	LN:153
@SQ	SN:XR_007090388.1	LN:153
@SQ	SN:XR_007090387.1	LN:153
@SQ	SN:XR_007090386.1	LN:153
@SQ	SN:XR_007090385.1	LN:153
@SQ	SN:XR_007090384.1	LN:153
@SQ	SN:XR_007090383.1	LN:153
@SQ	SN:XR_007090382.1	LN:5073
@SQ	SN:XR_007090381.1	LN:5077
@SQ	SN:XR_007090380.1	LN:5072
